load_id,origin_city,origin_state,destination_city,destination_state,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,weight,commodity_type,num_of_pieces,miles,dimensions,notes
LOAD-0001,Dallas,TX,Atlanta,GA,2026-05-01 06:00:00,2026-05-02 18:00:00,dry van,1575,38000,consumer goods,24,781,53ft,No-touch freight
LOAD-0002,Houston,TX,Memphis,TN,2026-05-01 07:00:00,2026-05-02 14:00:00,dry van,1100,32000,paper products,18,565,53ft,Drop trailer
LOAD-0003,Los Angeles,CA,Phoenix,AZ,2026-05-01 08:00:00,2026-05-01 20:00:00,reefer,950,28000,frozen produce,400,373,53ft reefer,Reefer at 34F
LOAD-0004,Chicago,IL,Indianapolis,IN,2026-05-01 09:00:00,2026-05-01 17:00:00,dry van,475,22000,automotive parts,12,184,53ft,Live load + unload
LOAD-0005,Atlanta,GA,Charlotte,NC,2026-05-01 10:00:00,2026-05-01 18:00:00,dry van,500,24000,textiles,16,245,53ft,Appointment strict
LOAD-0006,Newark,NJ,Boston,MA,2026-05-02 06:00:00,2026-05-02 14:00:00,dry van,575,30000,electronics,8,215,53ft,Lumper $150
LOAD-0007,Joliet,IL,Cleveland,OH,2026-05-02 07:00:00,2026-05-02 18:00:00,flatbed,925,42000,construction materials,4,346,48ft,Tarps required
LOAD-0008,Long Beach,CA,Salt Lake City,UT,2026-05-02 08:00:00,2026-05-04 14:00:00,dry van,1500,36000,consumer goods,22,729,53ft,
LOAD-0009,Dallas,TX,McAllen,TX,2026-05-02 06:00:00,2026-05-02 18:00:00,dry van,1025,28000,beverages,28,494,53ft,
LOAD-0010,Memphis,TN,Kansas City,MO,2026-05-03 07:00:00,2026-05-04 09:00:00,reefer,1100,34000,frozen produce,600,455,53ft reefer,Reefer at 32F
LOAD-0011,Phoenix,AZ,Denver,CO,2026-05-03 08:00:00,2026-05-04 18:00:00,dry van,1650,32000,consumer goods,20,838,53ft,
LOAD-0012,Detroit,MI,Pittsburgh,PA,2026-05-03 09:00:00,2026-05-03 19:00:00,conestoga,825,38000,automotive parts,16,287,53ft,Tarps required
LOAD-0013,Charlotte,NC,Tampa,FL,2026-05-03 06:00:00,2026-05-04 14:00:00,dry van,1175,30000,paper products,18,581,53ft,
LOAD-0014,Houston,TX,Atlanta,GA,2026-05-04 07:00:00,2026-05-05 18:00:00,dry van,1500,40000,chemicals,14,790,53ft,Hazmat - class 3
LOAD-0015,Los Angeles,CA,Sacramento,CA,2026-05-04 08:00:00,2026-05-04 20:00:00,reefer,975,26000,frozen produce,350,385,53ft reefer,Reefer at 36F
LOAD-0016,Boston,MA,Newark,NJ,2026-05-04 09:00:00,2026-05-04 17:00:00,dry van,575,28000,electronics,10,215,53ft,
LOAD-0017,Chicago,IL,St. Louis,MO,2026-05-05 06:00:00,2026-05-05 16:00:00,dry van,575,26000,consumer goods,16,297,53ft,
LOAD-0018,Tacoma,WA,Salt Lake City,UT,2026-05-05 07:00:00,2026-05-07 14:00:00,flatbed,2225,44000,construction materials,5,892,48ft,Tarps required
LOAD-0019,Atlanta,GA,Savannah,GA,2026-05-05 08:00:00,2026-05-05 16:00:00,dry van,500,24000,paper products,20,250,53ft,Drop trailer
LOAD-0020,Laredo,TX,Dallas,TX,2026-05-05 09:00:00,2026-05-06 09:00:00,dry van,925,32000,automotive parts,18,440,53ft,Bonded freight
LOAD-0021,Kansas City,MO,Minneapolis,MN,2026-05-06 06:00:00,2026-05-06 18:00:00,reefer,1075,33000,frozen produce,500,440,53ft reefer,Reefer at 34F
